,id,node_id,monitor_item,monitor_value,monitor_time
6890,1608944,75714126,disps,-11.232,2018-12-18 21:21:28
6891,1608945,75714127,disps,-12.037,2018-12-18 21:21:31
6892,1608946,29,air-temp,9.1,2018-12-18 21:18:18
6893,1608947,29,wind-dir-v,211.0,2018-12-18 21:18:18
6894,1608948,29,humidity,74.4,2018-12-18 21:18:18
6895,1608949,29,wind_speed,1.1,2018-12-18 21:18:18
6896,1608950,29,wind_dir,9.0,2018-12-18 21:18:18
6897,1608951,29,humidity,74.4,2018-12-18 21:18:18
6898,1608952,29,air-temp,9.1,2018-12-18 21:18:18
6899,1608953,29,wind_dir,9.0,2018-12-18 21:18:18
6900,1608954,29,wind-dir-v,211.0,2018-12-18 21:18:18
6901,1608955,29,wind_speed,1.1,2018-12-18 21:18:18
6902,1608956,29,air-temp,9.2,2018-12-18 21:23:18
6903,1608957,29,wind-dir-v,227.0,2018-12-18 21:23:18
6904,1608958,29,humidity,73.1,2018-12-18 21:23:18
6905,1608959,29,wind_dir,10.0,2018-12-18 21:23:18
6906,1608960,29,wind_speed,1.7,2018-12-18 21:23:18
6907,1608961,75714124,disps,-7.202,2018-12-18 21:26:18
6908,1608962,75714125,disps,-7.642,2018-12-18 21:26:21
6909,1608963,75714126,disps,-11.242,2018-12-18 21:26:31
6910,1608964,75714127,disps,-12.041,2018-12-18 21:26:34
6911,1608965,29,humidity,73.1,2018-12-18 21:23:18
6912,1608966,29,wind_speed,1.7,2018-12-18 21:23:18
6913,1608967,29,air-temp,9.2,2018-12-18 21:23:18
6914,1608968,29,wind-dir-v,227.0,2018-12-18 21:23:18
6915,1608969,29,wind_dir,10.0,2018-12-18 21:23:18
6916,1608970,29,air-temp,9.2,2018-12-18 21:23:18
6917,1608971,29,humidity,73.1,2018-12-18 21:23:18
6918,1608972,29,wind_dir,10.0,2018-12-18 21:23:18
6919,1608973,29,wind-dir-v,227.0,2018-12-18 21:23:18
6920,1608974,29,wind_speed,1.7,2018-12-18 21:23:18
6921,1608975,29,air-temp,9.3,2018-12-18 21:28:18
6922,1608976,29,wind-dir-v,226.0,2018-12-18 21:28:18
6923,1608977,29,wind_dir,10.0,2018-12-18 21:28:18
6924,1608978,29,wind_speed,0.8,2018-12-18 21:28:18
6925,1608979,29,humidity,72.9,2018-12-18 21:28:18
6926,1608980,75714124,disps,-7.199,2018-12-18 21:31:18
6927,1608981,75714126,disps,-11.285,2018-12-18 21:31:30
6928,1608982,75714127,disps,-12.082,2018-12-18 21:31:33
6929,1608983,29,air-temp,9.3,2018-12-18 21:28:18
6930,1608984,29,wind-dir-v,226.0,2018-12-18 21:28:18
6931,1608985,29,wind_speed,0.8,2018-12-18 21:28:18
6932,1608986,29,wind_dir,10.0,2018-12-18 21:28:18
6933,1608987,29,humidity,72.9,2018-12-18 21:28:18
6934,1608988,29,wind_dir,10.0,2018-12-18 21:33:18
6935,1608989,29,wind-dir-v,227.0,2018-12-18 21:33:18
6936,1608990,29,humidity,72.8,2018-12-18 21:33:18
6937,1608991,29,air-temp,9.2,2018-12-18 21:33:18
6938,1608992,29,wind_speed,0.8,2018-12-18 21:33:18
6939,1608993,75714124,disps,-7.198,2018-12-18 21:36:23
6940,1608994,75714126,disps,-11.337,2018-12-18 21:36:32
6941,1608995,75714127,disps,-12.173,2018-12-18 21:36:35
6942,1608996,29,air-temp,9.2,2018-12-18 21:33:18
6943,1608997,29,wind_speed,0.8,2018-12-18 21:33:18
6944,1608998,29,wind_dir,10.0,2018-12-18 21:33:18
6945,1608999,29,humidity,72.8,2018-12-18 21:33:18
6946,1609000,29,wind-dir-v,227.0,2018-12-18 21:33:18
6947,1609001,29,humidity,72.8,2018-12-18 21:33:18
6948,1609002,29,air-temp,9.2,2018-12-18 21:33:18
6949,1609003,29,wind-dir-v,227.0,2018-12-18 21:33:18
6950,1609004,29,wind_speed,0.8,2018-12-18 21:33:18
6951,1609005,29,wind_dir,10.0,2018-12-18 21:33:18
6952,1609006,29,humidity,71.9,2018-12-18 21:38:18
6953,1609007,29,wind_dir,11.0,2018-12-18 21:38:18
6954,1609008,29,wind-dir-v,241.0,2018-12-18 21:38:18
6955,1609009,29,wind_speed,0.8,2018-12-18 21:38:18
6956,1609010,29,air-temp,9.3,2018-12-18 21:38:18
6957,1609011,75714124,disps,-7.199,2018-12-18 21:41:21
6958,1609012,75714125,disps,-7.644,2018-12-18 21:41:24
6959,1609013,75714126,disps,-11.34,2018-12-18 21:41:33
